ts_event,symbol,best_level_ofi,ofi_L0,ofi_L1,ofi_L2,ofi_L3,ofi_L4,ofi_L5,ofi_L6,ofi_L7,ofi_L8,ofi_L9,ofi_norm_L0,ofi_norm_L1,ofi_norm_L2,ofi_norm_L3,ofi_norm_L4,ofi_norm_L5,ofi_norm_L6,ofi_norm_L7,ofi_norm_L8,ofi_norm_L9,integrated_ofi,cross_asset_ofi
2024-10-21T11:54:29.221064336Z,AAPL,339,339,11,208,178,44,135,210,154,255,455,1.704374057,0.055304173,1.045751634,0.894922071,0.221216692,0.678733032,1.055806938,0.774258421,1.282051282,2.287581699,-0.917063413,0
2024-10-21T11:54:29.223769812Z,AAPL,2,2,0,0,0,0,0,0,0,0,0,0.010045203,0,0,0,0,0,0,0,0,0,-0.000199987,0
2024-10-21T11:54:29.225030400Z,AAPL,3,3,0,0,0,0,0,0,0,0,0,0.015045135,0,0,0,0,0,0,0,0,0,-0.00029953,0
2024-10-21T11:54:29.712434212Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.911577028,0,0,0,0,0,0,0,-0.095659039,0
2024-10-21T11:54:29.764673165Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-1.003009027,0,0,0,0,0,0,0,0.105253727,0
2024-10-21T11:54:29.764685027Z,AAPL,0,0,400,10,0,0,0,0,0,0,0,0,1.823154057,0.045578851,0,0,0,0,0,0,0,-0.121005853,0
2024-10-21T11:54:36.289427977Z,AAPL,0,0,0,0,0,0,0,-200,-44,-155,-400,0,0,0,0,0,0,-1.003009027,-0.220661986,-0.777331996,-2.006018054,0.367680367,0
2024-10-21T11:54:37.990793976Z,AAPL,-200,-200,0,0,0,0,0,0,0,0,0,-1.003009027,0,0,0,0,0,0,0,0,0,0.01996864,0
2024-10-21T11:54:39.124291588Z,AAPL,1,1,8,150,29,25,200,200,44,155,400,0.004557885,0.036463081,0.683682771,0.132178669,0.113947129,0.911577028,0.911577028,0.200546946,0.706472197,1.823154057,-0.563320126,0
2024-10-21T11:54:39.134140341Z,AAPL,-1,-1,-8,-150,-29,-25,-200,-200,-44,-155,-400,-0.005015045,-0.040120361,-0.75225677,-0.145436309,-0.125376128,-1.003009027,-1.003009027,-0.220661986,-0.777331996,-2.006018054,0.619821643,0
